,base,exp,tau,type,strike,bid,ask,last_deal,th_price,sigma,underlying_price,sigma-ask,sigma-bid
1,H&H_underlying,18-06-20,35,,,74.444,74.445,74.443,,,,,
282,H&H,21-05-20,7,Call,59.25,0.0,0.0,0.0,15202.0,49.415,74.443,,
283,H&H,21-05-20,7,Call,59.5,0.0,0.0,0.0,14952.0,49.235,74.443,,
284,H&H,21-05-20,7,Call,59.75,0.0,0.0,0.0,14702.0,49.036,74.443,,
285,H&H,21-05-20,7,Call,60.0,0.0,0.0,0.0,14452.0,48.816,74.443,,
286,H&H,21-05-20,7,Call,60.25,0.0,0.0,0.0,14202.0,48.573,74.443,,
287,H&H,21-05-20,7,Call,60.5,0.0,0.0,0.0,13952.0,48.306,74.443,,
288,H&H,21-05-20,7,Call,60.75,0.0,0.0,0.0,13702.0,48.013,74.443,,
289,H&H,21-05-20,7,Call,61.0,0.0,0.0,0.0,13453.0,47.694,74.443,,
290,H&H,21-05-20,7,Call,61.25,0.0,0.0,0.0,13203.0,47.346,74.443,,
291,H&H,21-05-20,7,Call,61.5,0.0,0.0,0.0,12953.0,46.968,74.443,,
292,H&H,21-05-20,7,Call,61.75,0.0,0.0,0.0,12703.0,46.56,74.443,,
293,H&H,21-05-20,7,Call,62.0,0.0,0.0,0.0,12454.0,46.12,74.443,,
294,H&H,21-05-20,7,Call,62.25,0.0,0.0,0.0,12204.0,45.647,74.443,,
295,H&H,21-05-20,7,Call,62.5,0.0,0.0,0.0,11954.0,45.142,74.443,,
296,H&H,21-05-20,7,Call,62.75,0.0,0.0,0.0,11705.0,44.603,74.443,,
297,H&H,21-05-20,7,Call,63.0,0.0,0.0,0.0,11455.0,44.031,74.443,,
298,H&H,21-05-20,7,Call,63.25,0.0,0.0,0.0,11205.0,43.425,74.443,,
299,H&H,21-05-20,7,Call,63.5,0.0,0.0,0.0,10956.0,42.786,74.443,,
300,H&H,21-05-20,7,Call,63.75,0.0,0.0,0.0,10706.0,42.115,74.443,,
301,H&H,21-05-20,7,Call,64.0,0.0,0.0,0.0,10456.0,41.411,74.443,,
302,H&H,21-05-20,7,Call,64.25,0.0,0.0,0.0,10207.0,40.677,74.443,,
303,H&H,21-05-20,7,Call,64.5,0.0,0.0,0.0,9957.0,39.913,74.443,,
304,H&H,21-05-20,7,Call,64.75,0.0,0.0,0.0,9707.0,39.123,74.443,,
305,H&H,21-05-20,7,Call,65.0,0.0,0.0,0.0,9457.0,38.306,74.443,,
306,H&H,21-05-20,7,Call,65.25,0.0,0.0,0.0,9208.0,37.466,74.443,,
