"Date","Time","Symbol","Strike","Root","Expiration Date","Option","Qty","Open Interest","Trades Count","Option Volume","Total Trade Notional - Spot","Total Trade Premium","Total Edge","Contract Edge","Exchange Sequence Number","Price","Price Change","Theo","Theo Iv","Type","Exchange","Condition","Canceled Condition","Bid","Ask","Market","Premium","Spot Moneyness","Time Until Expiration","Trade Iv","Trade Iv Change","Trade Delta","Trade Gamma","Trade Vega","Trade Theta","Trade Rho","Underlying Bid","Underlying Ask","Market - Underlying","Underlying Trade Price","Underlying Change From Close","Underlying Change From Open","OnBidAsk","Market Condition"
"2024-06-26","10:18:12:093","AMZN",160,"AMZN","2024-08-16T04:00:00.000Z","AMZN Aug16 160.00 P",8000,"8567.00",12,8038,150884000,952000,"21690.14","2.71",199449105,"1.19","-0.09","1.16","0.37","P","AMEX","MultLegCross","Normal Trade","1.16","1.19","1.16 x 1.19","1.19","0.85",51.258331298828125,"36.80","0.01","-0.09","0.01","0.12","-0.04","-0.02","188.60","188.61","188.60 x 188.61","188.60","2.26","1.86","A","I"
"2024-06-26","10:18:12:093","AMZN",160,"AMZN","2024-08-16T04:00:00.000Z","AMZN Aug16 160.00 C",8000,"2268.00",1,8000,150884000,24816000,"177905.59","22.24",199449104,"31.02","1.22","31.24","0.37","C","AMEX","MultLegCross","Normal Trade","30.90","31.35","30.90 x 31.35","2.42","0.85",51.258331298828125,"34.55","-0.01","0.92","0.01","0.11","-0.03","0.20","188.60","188.61","188.60 x 188.61","188.60","2.26","1.86","I","I"
"2024-06-26","10:45:20:671","AMZN",200,"AMZN","2024-07-05T04:00:00.000Z","AMZN(W) Jul05 200.00 C",1574,"16424.00",967,9657,30040576,86570,"777.05","0.49",212532565,"0.55","0.31","0.55","0.26","C","GEMX","AutoExecution","Normal Trade","0.54","0.55","0.54 x 0.55","0.55","1.05",9.2394437789917,"25.70","-0.01","0.14","0.03","0.07","-0.09","0.01","190.85","190.86","190.85 x 190.86","190.87","4.53","4.13","A","I"
"2024-06-26","10:45:04:043","AMZN",160,"AMZN","2024-08-16T04:00:00.000Z","AMZN Aug16 160.00 P",1000,"8567.00",28,10067,19065995,102000,"1116.20","1.12",314975084,"1.02","-0.26","1.03","0.37","P","AMEX","MultLegCross","Normal Trade","1.02","1.04","1.02 x 1.04","1.02","0.84",51.239723205566406,"36.86","0.01","-0.08","0.01","0.11","-0.04","-0.02","190.65","190.67","190.65 x 190.67","190.65","4.31","3.91","B","I"
"2024-06-26","10:45:04:043","AMZN",160,"AMZN","2024-08-16T04:00:00.000Z","AMZN Aug16 160.00 C",1000,"2268.00",10,10010,19065952,3312000,"1734.82","1.73",314975083,"33.12","3.32","33.14","0.37","C","AMEX","MultLegCross","Normal Trade","32.75","33.45","32.75 x 33.45","2.47","0.84",51.239723205566406,"36.81","0.01","0.92","0.01","0.11","-0.03","0.20","190.65","190.67","190.65 x 190.67","190.65","4.31","3.91","I","I"
"2024-06-26","10:32:29:942","AMZN",160,"AMZN","2024-08-16T04:00:00.000Z","AMZN Aug16 160.00 P",1000,"8567.00",17,9053,18991996,109000,"982.98","0.98",262161635,"1.09","-0.19","1.08","0.37","P","AMEX","MultLegCross","Normal Trade","1.06","1.09","1.06 x 1.09","1.09","0.84",51.2484016418457,"36.94","0.01","-0.09","0.01","0.11","-0.04","-0.02","189.91","189.93","189.91 x 189.93","189.91","3.57","3.17","A","I"
"2024-06-26","10:32:29:942","AMZN",160,"AMZN","2024-08-16T04:00:00.000Z","AMZN Aug16 160.00 C",1000,"2268.00",3,9001,18991959,3244000,"1671.84","1.67",262161634,"32.44","2.64","32.46","0.37","C","AMEX","MultLegCross","Normal Trade","32.25","32.75","32.25 x 32.75","2.53","0.84",51.2484016418457,"36.70","0.01","0.92","0.01","0.11","-0.03","0.20","189.91","189.93","189.91 x 189.93","189.91","3.57","3.17","I","I"
"2024-06-26","10:40:56:332","AMZN",280,"AMZN","2025-12-19T05:00:00.000Z","AMZN Dec19'25 280.00 C",1000,"219.00",1,1000,19027000,868000,"1165.65","1.17",199903273,"8.68","0.83","8.67","0.30","C","MIAX","MultLegAutoEx","Normal Trade","8.55","8.75","8.55 x 8.75","8.68","1.47",541.2843017578125,"29.53","0.00","0.25","0.00","0.75","-0.02","0.58","190.26","190.28","190.26 x 190.28","190.26","3.92","3.52","I","I"
"2024-06-26","10:25:42:971","AMZN",190,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 190.00 C",900,"42174.00",823,6444,17031600,423000,"478.23","0.53",154144831,"4.70","1.08","4.71","0.24","C","EMLD","AutoExecution","Normal Trade","4.65","4.70","4.65 x 4.70","4.70","1.00",23.253055572509766,"24.44","-0.00","0.52","0.03","0.19","-0.10","0.06","189.23","189.25","189.23 x 189.25","189.25","2.91","2.51","A","I"
"2024-06-26","11:10:41:942","AMZN",130,"AMZN","2025-06-20T04:00:00.000Z","AMZN Jun20'25 130.00 P",875,"5671.00",3,877,16733083,242375,"1372.76","1.57",420667182,"2.77","-0.19","2.75","0.35","P","PHLX","StkOptFlr","Normal Trade","2.74","2.80","2.74 x 2.80","2.77","0.68",359.2220764160156,"35.52","0.00","-0.08","0.00","0.29","-0.01","-0.16","191.23","191.24","191.23 x 191.24","191.23","4.89","4.49","I","I"
"2024-06-26","09:52:43:777","AMZN",192.5,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 192.50 C",821,"18683.00",337,2302,15409759,29556,"717.46","0.87",108544845,"0.36","0.04","0.37","0.31","C","BZX","AutoExecution","Normal Trade","0.35","0.37","0.35 x 0.37","0.36","1.03",2.2760419845581055,"30.30","0.01","0.16","0.05","0.04","-0.23","0.00","187.68","187.71","187.68 x 187.71","187.70","1.36","0.96","I","I"
"2024-06-26","10:47:39:103","AMZN",170,"AMZN","2025-01-17T05:00:00.000Z","AMZN Jan17'25 170.00 P",815,"11940.00",95,5035,15608472,566425,"11663.54","14.31",220835069,"6.95","-0.75","6.81","0.32","P","MIAX","SingLegAuctISO","Normal Trade","6.85","7.05","6.85 x 7.05","6.95","0.89",205.27951049804688,"31.93","0.01","-0.24","0.01","0.44","-0.03","-0.24","191.51","191.52","191.51 x 191.52","191.49","5.15","4.74","I","I"
"2024-06-26","09:55:12:422","AMZN",190,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 190.00 C",676,"35803.00",1437,10928,12670944,55432,"281.59","0.42",118273030,"0.82","0.06","0.82","0.30","C","PHLX","SingLegAuctNonISO","Normal Trade","0.80","0.82","0.80 x 0.82","0.82","1.01",2.274235963821411,"29.85","0.02","0.30","0.08","0.05","-0.37","0.00","187.43","187.45","187.43 x 187.45","187.42","1.08","0.68","A","I"
"2024-06-26","10:46:36:438","AMZN",190,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 190.00 C",651,"35803.00",7827,47575,12441912,161448,"710.57","1.09",323687903,"2.48","1.73","2.49","0.30","C","MIAX","SingLegAuctNonISO","Normal Trade","2.46","2.52","2.46 x 2.52","1.37","0.99",2.238542079925537,"30.17","0.02","0.61","0.08","0.06","-0.44","0.01","191.11","191.13","191.11 x 191.13","191.12","4.78","4.38","I","I"
"2024-06-26","10:32:03:167","AMZN",195,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 195.00 C",595,"39268.00",1278,14116,11301430,175525,"858.83","1.44",174843671,"2.95","0.93","2.94","0.25","C","CBOE","StkOptAuct","Normal Trade","2.96","2.99","2.96 x 2.99","2.95","1.03",23.248680114746094,"24.60","-0.00","0.38","0.03","0.18","-0.10","0.04","189.93","189.95","189.93 x 189.95","189.94","3.60","3.20","L","I"
"2024-06-26","10:45:47:988","AMZN",200,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 200.00 C",500,"16666.00",444,4384,9553475,6000,"64.61","0.13",319146854,"0.12","0.08","0.12","0.36","C","EDGX","AutoExecution","Normal Trade","0.11","0.12","0.11 x 0.12","0.12","1.05",2.2390971183776855,"35.55","-0.00","0.06","0.02","0.02","-0.10","0.00","191.06","191.08","191.06 x 191.08","191.07","4.73","4.33","A","I"
"2024-06-26","10:45:31:635","AMZN",185,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 185.00 P",500,"13921.00",1629,8678,9553500,10000,"41.42","0.08",317649058,"0.20","-0.69","0.20","0.32","P","EDGX","AutoExecution","Normal Trade","0.20","0.21","0.20 x 0.21","0.20","0.97",2.2393059730529785,"31.64","0.04","-0.09","0.03","0.03","-0.15","-0.00","191.06","191.08","191.06 x 191.08","191.08","4.74","4.34","B","I"
"2024-06-26","10:28:39:815","AMZN",210,"AMZN","2024-10-18T04:00:00.000Z","AMZN Oct18 210.00 C",500,"5609.00",111,833,9469311,302500,"1505.65","3.01",242763046,"6.05","0.80","6.02","0.29","C","ARCA","AutoExecution","Normal Trade","6.05","6.10","6.05 x 6.10","6.05","1.11",114.25104522705078,"28.78","0.00","0.33","0.01","0.39","-0.05","0.18","189.37","189.40","189.37 x 189.40","189.39","3.05","2.65","B","I"
